id,name,city,zipcode,membersCount,lat,lng
334,Bordeaux Stade Chaban,Bordeaux,33000,36,44.8255,-0.589751
335,En-marche-Privas-335,Privas,07000,11,44.7309,4.4486
336,En-marche-Foix-336,Foix,09000,13,42.986,1.6064
338,En-marche-Sainte_Radegonde-338,Sainte_Radegonde,12850,1,44.3749,2.58
339,En Marche Caen Rive Gauche,Caen,14000,31,49.1865,-0.338661
340,En-marche-Dives_Sur_Mer-340,Dives_Sur_Mer,14160,5,49.2818,-0.1012
342,En Marche Angoulême,Angouleme,16000,0,45.65,0.15
343,En-marche-Jarnac-Cognac-343,Jarnac,16200,24,45.7527,-0.2386
344,En-marche-Bourges-344,Bourges,18000,42,47.0833,2.4
345,En-marche-Marsannay_la_Cote-345,Marsannay_la_Cote,21160,6,47.2665,5.0063
346,En-marche-Besancon-346,Besancon,25000,1,47.2488,6.0182
347,En-marche-Besancon-347,Besancon,25000,1,47.2488,6.0182
348,En-marche-Besancon-348,Besancon,25000,1,47.2488,6.0182
349,En-marche-Besancon-349,Besancon,25000,1,47.2488,6.0182
351,En-marche-Saint_Paul_Trois_Chateaux-351,Saint_Paul_Trois_Chateaux,26130,1,44.3485,4.8317
352,Quimper En Marche !,Quimper,29000,57,47.9958,-4.0978
355,En-marche-Rochefort-du-Gard-355,Rochefort-du-Gard,30650,13,43.9765,4.6902
356,En-marche-Le_Bouscat-356,Le_Bouscat,33110,17,44.866,-0.5941
358,Nantes Nord-Est,Nantes,44000,23,47.2299,-1.54517
359,La_Grande_Motte,La_Grande_Motte,34280,30,43.5603,4.07625
361,En Marche Saint Jean de Védas,Saint_jean_de_Vedas,34430,8,43.5776,3.826
362,En-marche-Béziers,Beziers,34500,44,43.3421,3.21748
363,En-marche-Grabels-363,Grabels,34790,11,43.648,3.7986
364,En-marche-Juvignac,Juvignac,34990,17,43.6131,3.8097
365,En-marche-Rennes-Centre Nord,Rennes,35000,133,48.112,-1.6743
366,En Marche Fougeres,Fougeres,35300,19,48.3517,-1.2
368,Geveze-En-Marche,Geveze,35850,10,48.2193,-1.7895
370,En-marche-Villebarou-370,Villebarou,41000,1,47.6,1.2667
372,En-marche-Figeac-372,Figeac,46100,8,44.6095,2.0346
373,En-marche-Figeac-373,Figeac,46100,2,44.643,1.9967
374,Super comité 46_Saint Martin_Labouval-374,Saint_Martin_Labouval,46330,9,44.4661,1.6938
375,En-marche-Cherbourg-375,Cherbourg,50100,30,49.6398,-1.6164
376,En-marche-Granville-376,Granville,50400,13,48.8481,-1.5561
377,En-marche-Granville-377,Granville,50400,1,48.8481,-1.5561
378,En-marche-Jonquery-378,Jonquery,51700,1,49.15,3.75
379,En-marche-Cherance-379,Cherance,53400,1,47.8833,-0.9667
380,En-marche-Pontivy-380,Pontivy,56800,2,47.8806,-2.3584
381,En-marche-Nevers-381,Nevers,58000,1,46.95,3.1833
382,En-marche-Lille-St-Maurice,Lille,59000,5,50.6408,3.08202
384,En-marche-Valenciennes-384,Valenciennes,59144,1,50.3196,3.6763
385,En marche Cambrai et le Cambrésis,Cambrai,59400,29,50.1758,3.2347
386,En-marche-Annecy-386,Annecy,74000,1,45.9,6.1167
387,Paris Saint-Jacques En Marche,PARIS,75014,10,48.8402,2.33055
388,En Marche - Commerce,PARIS,75015,58,48.845,2.29348
389,En-marche-PARIS-389,PARIS,75015,3,48.8456,2.27816
390,En-marche-PARIS-390,PARIS,75015,9,48.8356,2.29312
391,En-marche- BRANCION-VOUILLE,PARIS,75015,13,48.8358,2.31109
392,En-marche-PARIS-392,PARIS,75016,30,48.8592,2.3417
393,En-marche-PARIS-393,PARIS,75017,2,48.8911,2.32079
394,La Fourche-Guy Môquet,PARIS,75017,25,48.8926,2.32711
395,Ornano Simplon,PARIS,75018,46,48.8954,2.34395
397,En Marche Lamarck-Jules Joffrin,PARIS,75018,68,48.894,2.33857
398,Ourcq-Jean Jaurès-Porte de Pantin,PARIS,75019,42,48.8885,2.3843
399,En Marche Rosa Parks,PARIS,75019,3,48.8986,2.37649
400,Comité XIXème - Jean Jaurès - Eugène Jumin,PARIS,75019,19,48.8861,2.39147
401,En-marche-PARIS-401,PARIS,75019,2,48.8831,2.38849
402,En Marche Paris Gambetta Nord Pyrénées,PARIS,75020,27,48.8737,2.40511
403,En Marche Porte de Vincennes,PARIS,75020,12,48.8475,2.41009
404,Comité Place Gambetta,PARIS,75020,58,48.8648,2.39839
405,Vitry sur Orne  405,Vitry_sur_Orne,57185,3,49.2624,6.0972
406,Metz,Metz,57000,132,49.1202,6.1775
407,En-marche-Lamorlaye-407,Lamorlaye,60260,6,49.1625,2.4469
408,En-marche-Sainte_genevieve-408,Sainte_genevieve,60730,3,49.2667,2.2167
